,Clean_Text,label
34601,chevre follow chevre im public tweeting thanks,1
23993,looking forward cambridge weekend shopping ilze,1
9376,sorry listen bats gd dude got tell bats amazing lt,1
38758,meditate feel vast vast know itwhat think,1
17814,oh ive pics sorry httptwitpiccomoj,2
5942,dollarama wish new job,2
18933,im glad concert week awayim getting sick need time recover lungs hurt bad right,2
31813,searching interesting people twitter found link blog posted profile,1
5668,hey heyim finishing th june,1
39194,goodmornin soon saw ur pic reminded embarresing yesterday oliveramppeter fun tho xd,2
29275,soooo happy,1
25992,hey,1
37150,girl big hair rock today black velvet baby httpblipfmzg,2
35674,love leave laptop bed creates nice toasty spot,1
28851,nice pre mothers day dinner cocktail retiring evening,1
23400,definitely blast past,2
23675,aww sweet,1
25906,know shop avon online true check site httpwwwyouravoncomkrystalmoore thanks,2
37856,sun shining im driving lesson,1
11674,sunny entered subbasement raining,2
39071,meet robbinsons best movie,2
20962,babe text email address send,1
36814,mmmm shower,2
26158,mint icecream dessert tonight love stuff,2
17651,oh look new house santa barbara httpitinypiccomhityjpg hahha wish,2
32025,gotta church camera meeting finally d lol,1
37233,happy mothers day,1
12072,mmmm youre speaking language unfortunately militant diet modeam seriously thinking competitonso tb guess,2
31608,thank im working,1
15034,tired,2
27428,absolutely amazing wolverine youre sooo beautiful youre amazing person look u,1
30788,walking streets harlem home sweet home,1
35102,hope going wanted u know im home muah,1
27251,wolverine fun gambit bit disappointing smooth cajun taste pretty,1
37473,mmmmm hair smells guuud wonders quotpantienquot,2
3338,omg cat hairball awake,2
33754,omj qot home party oo im man tired goodniqht happy mothers day  care amp god bless,1
14459,cookies milk feel better thanks babe recuperating night httpyfrogcomizrj,1
26432,want walk x,2
32130,ooh love sweet potato fries definitely,1
25166,helping exstudent uni assignment skype gotta love connected world sudying game design better,1
6933,lie like restaraunt named quotgarfieldsquot found,2
32782,knightsweet dreams,1
1216,bad relationship eating cuz id depressed esp relationship lost lot weight weak im mad eating  meals day didnt fix depression lol wtf,0
31731,earth led believe,2
5152,congrats mollie wish got tickets,1
35379,great study time followed delicious japanese meal arty trying study mood,1
23831,ready school absolute wonderful day,1
35031,sunday weather looks great gone bike visite mom day,1
28504,heh moved house pius pep rally cheering band,1
8263,foot think let international twitter haha,1
23737,thanks little star offered come ja weekender dunno afford looking,1
26076,working birthday isnt bad work ruby rails,1
17683,oh forgot weighed dr highest weight,2
29271,went swimming fam  hours little toasty,1
22447,xmas week early hehe didnt min shopping,1
28975,oh girl baby going bed pm,1
6725,far downtown  minutes veggie burgers,2
21793,welcome,1
36595,woah awesome glad hotel nightie night happy mothers day mommys,1
25144,good morning time work,1
